"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1502","User login with wrong email or password","LMS system","Sat Mar 21 09:27:10 UTC 2026","passed","Sat Mar 21 09:27:12 UTC 2026","Authorization","Authentication","",""
"","1684","User login with wrong email or password","LMS system","Sat Mar 21 09:27:08 UTC 2026","passed","Sat Mar 21 09:27:10 UTC 2026","Authorization","Authentication","",""
"","1083","Check displaying of empty courses list","LMS system","Sat Mar 21 09:27:15 UTC 2026","passed","Sat Mar 21 09:27:16 UTC 2026","Courses","Courses","",""
"","896","Navigation from login page to registration page","LMS system","Sat Mar 21 09:27:12 UTC 2026","passed","Sat Mar 21 09:27:13 UTC 2026","Authorization","Authentication","",""
"","3657","Edit course","LMS system","Sat Mar 21 09:27:17 UTC 2026","passed","Sat Mar 21 09:27:20 UTC 2026","Courses","Courses","",""
"","1424","Registration with correct email, username and password","LMS system","Sat Mar 21 09:27:13 UTC 2026","passed","Sat Mar 21 09:27:15 UTC 2026","Registration","Authentication","",""
"","3851","User login with correct email or password","LMS system","Sat Mar 21 09:27:08 UTC 2026","passed","Sat Mar 21 09:27:12 UTC 2026","Authorization","Authentication","",""
"","3661","Create course","LMS system","Sat Mar 21 09:27:16 UTC 2026","passed","Sat Mar 21 09:27:20 UTC 2026","Courses","Courses","",""
"","1120","User login with wrong email or password","LMS system","Sat Mar 21 09:27:12 UTC 2026","passed","Sat Mar 21 09:27:14 UTC 2026","Authorization","Authentication","",""
"","1336","Check displaying of dashboard page","LMS system","Sat Mar 21 09:27:21 UTC 2026","passed","Sat Mar 21 09:27:22 UTC 2026","Dashboard","Dashboard","",""
