"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1258","Check displaying of dashboard page","LMS system","Tue Sep 09 01:46:43 GMT 2025","passed","Tue Sep 09 01:46:44 GMT 2025","Dashboard","Dashboard","",""
"","893","Navigation from login page to registration page","LMS system","Tue Sep 09 01:46:34 GMT 2025","passed","Tue Sep 09 01:46:35 GMT 2025","Authorization","Authentication","",""
"","3243","User login with correct email or password","LMS system","Tue Sep 09 01:46:30 GMT 2025","passed","Tue Sep 09 01:46:33 GMT 2025","Authorization","Authentication","",""
"","1409","User login with wrong email or password","LMS system","Tue Sep 09 01:46:32 GMT 2025","passed","Tue Sep 09 01:46:34 GMT 2025","Authorization","Authentication","",""
"","3826","Edit course","LMS system","Tue Sep 09 01:46:38 GMT 2025","passed","Tue Sep 09 01:46:42 GMT 2025","Courses","Courses","",""
"","1314","Registration with correct email, username and password","LMS system","Tue Sep 09 01:46:35 GMT 2025","passed","Tue Sep 09 01:46:36 GMT 2025","Registration","Authentication","",""
"","1440","User login with wrong email or password","LMS system","Tue Sep 09 01:46:30 GMT 2025","passed","Tue Sep 09 01:46:32 GMT 2025","Authorization","Authentication","",""
"","1026","User login with wrong email or password","LMS system","Tue Sep 09 01:46:34 GMT 2025","passed","Tue Sep 09 01:46:35 GMT 2025","Authorization","Authentication","",""
"","3431","Create course","LMS system","Tue Sep 09 01:46:38 GMT 2025","passed","Tue Sep 09 01:46:41 GMT 2025","Courses","Courses","",""
"","937","Check displaying of empty courses list","LMS system","Tue Sep 09 01:46:36 GMT 2025","passed","Tue Sep 09 01:46:37 GMT 2025","Courses","Courses","",""
